Date,Open,High,Low,Close ,Adj Close ,Volume
"Aug 1, 2003",47.22,48.55,45.83,48.43,32.33,3840000
"Jul 1, 2003",46.1,48.36,45.67,47.3,31.57,4055200
"Jun 23, 2003",0.15 Dividend,,,,,
"Jun 1, 2003",46.08,48.08,45.71,46.22,30.76,5530800
"May 1, 2003",42.97,45.72,42.44,45.63,30.36,6680400
"Apr 1, 2003",39.92,43.35,39.75,43.12,28.69,10442000
"Mar 31, 2003",0.15 Dividend,,,,,
"Mar 1, 2003",39.9,42.03,37.19,39.7,26.32,16879000
"Feb 1, 2003",40.35,40.6,37.88,39.55,26.22,9953200
"Jan 1, 2003",41.7,43.72,39.42,40.17,26.63,7358200
"Dec 23, 2002",0.196 Dividend,,,,,
"Dec 1, 2002",44.54,44.7,40.72,41.31,27.26,10837200
"Nov 1, 2002",41.05,44.13,40.79,43.72,28.85,6866400
"Oct 1, 2002",38.78,42.3,36,41.25,27.22,12488400
"Sep 30, 2002",0.15 Dividend,,,,,
"Sep 1, 2002",42.15,43.24,37.72,38.38,25.22,7631800
"Aug 1, 2002",42.3,45.13,39.1,42.85,28.17,8420800
"Jul 1, 2002",46.5,46.5,36.54,42.53,27.95,11085800
"Jun 24, 2002",0.13 Dividend,,,,,
"Jun 1, 2002",50,50.18,44.58,46.4,30.41,5423600
"May 1, 2002",50.69,51.9,49.22,49.97,32.76,2950800
"Apr 1, 2002",53,53.24,49.95,50.69,33.22,5967600
"Mar 25, 2002",0.15 Dividend,,,,,
"Mar 1, 2002",51.44,54.42,51.44,53.06,34.68,3995000
"Feb 1, 2002",52.33,52.33,49.72,51.32,33.54,5258800
"Jan 1, 2002",53,54.38,50.22,52.24,34.14,6952200
"Dec 24, 2001",0.1965 Dividend,,,,,
"Dec 1, 2001",51.83,53.95,51.4,52.69,34.31,3976800
"Nov 1, 2001",48.72,53.17,48.06,52.14,33.95,4535600
"Oct 1, 2001",47.1,50.58,46.65,48.45,31.55,12946600
"Sep 24, 2001",0.1575 Dividend,,,,,
"Sep 1, 2001",52.17,53.03,43.4,47.47,30.8,3627600
"Aug 1, 2001",55.6,56.2,51.71,52.17,33.85,1812200
"Jul 1, 2001",56.3,56.97,53.4,55.42,35.96,4767200
"Jun 25, 2001",0.14 Dividend,,,,,
"Jun 1, 2001",55.42,56.81,55.03,56.5,36.57,4888000
